infinitive,je|present,tu|present,il_elle_on|present,nous|present,vous|present,ils_elles|present,je|past,tu|past,il_elle_on|past,nous|past,vous|past,ils_elles|past,je|future,tu|future,il_elle_on|future,nous|future,vous|future,ils_elles|future
intituler,intitule,intitules,intitule,intitulons,intitulez,intitulent,intitulais,intitulais,intitulait,intitulions,intituliez,intitulaient,intitulerai,intituleras,intitulera,intitulerons,intitulerez,intituleront
jaunir,jaunis,jaunis,jaunit,jaunissons,jaunissez,jaunissent,jaunissais,jaunissais,jaunissait,jaunissions,jaunissiez,jaunissaient,jaunirai,jauniras,jaunira,jaunirons,jaunirez,jauniront
indifférer,indiffère,indiffères,indiffère,indifférons,indifférez,indiffèrent,indifférais,indifférais,indifférait,indifférions,indiffériez,indifféraient,indiffèrerai;indifférerai,indiffèreras;indifféreras,indiffèrera;indifférera,indiffèrerons;indifférerons,indiffèrerez;indifférerez,indiffèreront;indifféreront
influencer,influence,influences,influence,influençons,influencez,influencent,influençais,influençais,influençait,influencions,influenciez,influençaient,influencerai,influenceras,influencera,influencerons,influencerez,influenceront
japper,jappe,jappes,jappe,jappons,jappez,jappent,jappais,jappais,jappait,jappions,jappiez,jappaient,japperai,japperas,jappera,japperons,japperez,japperont
kaoliniser,kaolinise,kaolinises,kaolinise,kaolinisons,kaolinisez,kaolinisent,kaolinisais,kaolinisais,kaolinisait,kaolinisions,kaolinisiez,kaolinisaient,kaoliniserai,kaoliniseras,kaolinisera,kaoliniserons,kaoliniserez,kaoliniseront
inhumer,inhume,inhumes,inhume,inhumons,inhumez,inhument,inhumais,inhumais,inhumait,inhumions,inhumiez,inhumaient,inhumerai,inhumeras,inhumera,inhumerons,inhumerez,inhumeront
incurver,incurve,incurves,incurve,incurvons,incurvez,incurvent,incurvais,incurvais,incurvait,incurvions,incurviez,incurvaient,incurverai,incurveras,incurvera,incurverons,incurverez,incurveront
intensifier,intensifie,intensifies,intensifie,intensifions,intensifiez,intensifient,intensifiais,intensifiais,intensifiait,intensifiions,intensifiiez,intensifiaient,intensifierai,intensifieras,intensifiera,intensifierons,intensifierez,intensifieront
interposer,interpose,interposes,interpose,interposons,interposez,interposent,interposais,interposais,interposait,interposions,interposiez,interposaient,interposerai,interposeras,interposera,interposerons,interposerez,interposeront
insister,insiste,insistes,insiste,insistons,insistez,insistent,insistais,insistais,insistait,insistions,insistiez,insistaient,insisterai,insisteras,insistera,insisterons,insisterez,insisteront
interroger,interroge,interroges,interroge,interrogeons,interrogez,interrogent,interrogeais,interrogeais,interrogeait,interrogions,interrogiez,interrogeaient,interrogerai,interrogeras,interrogera,interrogerons,interrogerez,interrogeront
javelliser,javellise,javellises,javellise,javellisons,javellisez,javellisent,javellisais,javellisais,javellisait,javellisions,javellisiez,javellisaient,javelliserai,javelliseras,javellisera,javelliserons,javelliserez,javelliseront
incarcérer,incarcère,incarcères,incarcère,incarcérons,incarcérez,incarcèrent,incarcérais,incarcérais,incarcérait,incarcérions,incarcériez,incarcéraient,incarcèrerai;incarcérerai,incarcèreras;incarcéreras,incarcèrera;incarcérera,incarcèrerons;incarcérerons,incarcèrerez;incarcérerez,incarcèreront;incarcéreront
inerter,inerte,inertes,inerte,inertons,inertez,inertent,inertais,inertais,inertait,inertions,inertiez,inertaient,inerterai,inerteras,inertera,inerterons,inerterez,inerteront
incruster,incruste,incrustes,incruste,incrustons,incrustez,incrustent,incrustais,incrustais,incrustait,incrustions,incrustiez,incrustaient,incrusterai,incrusteras,incrustera,incrusterons,incrusterez,incrusteront
jalouser,jalouse,jalouses,jalouse,jalousons,jalousez,jalousent,jalousais,jalousais,jalousait,jalousions,jalousiez,jalousaient,jalouserai,jalouseras,jalousera,jalouserons,jalouserez,jalouseront
incarner,incarne,incarnes,incarne,incarnons,incarnez,incarnent,incarnais,incarnais,incarnait,incarnions,incarniez,incarnaient,incarnerai,incarneras,incarnera,incarnerons,incarnerez,incarneront
invalider,invalide,invalides,invalide,invalidons,invalidez,invalident,invalidais,invalidais,invalidait,invalidions,invalidiez,invalidaient,invaliderai,invalideras,invalidera,invaliderons,invaliderez,invalideront
jurer,jure,jures,jure,jurons,jurez,jurent,jurais,jurais,jurait,jurions,juriez,juraient,jurerai,jureras,jurera,jurerons,jurerez,jureront
inonder,inonde,inondes,inonde,inondons,inondez,inondent,inondais,inondais,inondait,inondions,inondiez,inondaient,inonderai,inonderas,inondera,inonderons,inonderez,inonderont
inviter,invite,invites,invite,invitons,invitez,invitent,invitais,invitais,invitait,invitions,invitiez,invitaient,inviterai,inviteras,invitera,inviterons,inviterez,inviteront
interpoler,interpole,interpoles,interpole,interpolons,interpolez,interpolent,interpolais,interpolais,interpolait,interpolions,interpoliez,interpolaient,interpolerai,interpoleras,interpolera,interpolerons,interpolerez,interpoleront
instaurer,instaure,instaures,instaure,instaurons,instaurez,instaurent,instaurais,instaurais,instaurait,instaurions,instauriez,instauraient,instaurerai,instaureras,instaurera,instaurerons,instaurerez,instaureront
jalonner,jalonne,jalonnes,jalonne,jalonnons,jalonnez,jalonnent,jalonnais,jalonnais,jalonnait,jalonnions,jalonniez,jalonnaient,jalonnerai,jalonneras,jalonnera,jalonnerons,jalonnerez,jalonneront
jeter,jette,jettes,jette,jetons,jetez,jettent,jetais,jetais,jetait,jetions,jetiez,jetaient,jetterai,jetteras,jettera,jetterons,jetterez,jetteront
méandrer,méandre,méandres,méandre,méandrons,méandrez,méandrent,méandrais,méandrais,méandrait,méandrions,méandriez,méandraient,méandrerai,méandreras,méandrera,méandrerons,méandrerez,méandreront
marmotter,marmotte,marmottes,marmotte,marmottons,marmottez,marmottent,marmottais,marmottais,marmottait,marmottions,marmottiez,marmottaient,marmotterai,marmotteras,marmottera,marmotterons,marmotterez,marmotteront
louvoyer,louvoie,louvoies,louvoie,louvoyons,louvoyez,louvoient,louvoyais,louvoyais,louvoyait,louvoyions,louvoyiez,louvoyaient,louvoierai,louvoieras,louvoiera,louvoierons,louvoierez,louvoieront
lécher,lèche,lèches,lèche,léchons,léchez,lèchent,léchais,léchais,léchait,léchions,léchiez,léchaient,lècherai;lécherai,lècheras;lécheras,lèchera;léchera,lècherons;lécherons,lècherez;lécherez,lècheront;lécheront
lézarder,lézarde,lézardes,lézarde,lézardons,lézardez,lézardent,lézardais,lézardais,lézardait,lézardions,lézardiez,lézardaient,lézarderai,lézarderas,lézardera,lézarderons,lézarderez,lézarderont
lexicaliser,lexicalise,lexicalises,lexicalise,lexicalisons,lexicalisez,lexicalisent,lexicalisais,lexicalisais,lexicalisait,lexicalisions,lexicalisiez,lexicalisaient,lexicaliserai,lexicaliseras,lexicalisera,lexicaliserons,lexicaliserez,lexicaliseront
languir,languis,languis,languit,languissons,languissez,languissent,languissais,languissais,languissait,languissions,languissiez,languissaient,languirai,languiras,languira,languirons,languirez,languiront
limiter,limite,limites,limite,limitons,limitez,limitent,limitais,limitais,limitait,limitions,limitiez,limitaient,limiterai,limiteras,limitera,limiterons,limiterez,limiteront
maquiller,maquille,maquilles,maquille,maquillons,maquillez,maquillent,maquillais,maquillais,maquillait,maquillions,maquilliez,maquillaient,maquillerai,maquilleras,maquillera,maquillerons,maquillerez,maquilleront
lanterner,lanterne,lanternes,lanterne,lanternons,lanternez,lanternent,lanternais,lanternais,lanternait,lanternions,lanterniez,lanternaient,lanternerai,lanterneras,lanternera,lanternerons,lanternerez,lanterneront
mentionner,mentionne,mentionnes,mentionne,mentionnons,mentionnez,mentionnent,mentionnais,mentionnais,mentionnait,mentionnions,mentionniez,mentionnaient,mentionnerai,mentionneras,mentionnera,mentionnerons,mentionnerez,mentionneront
lambrisser,lambrisse,lambrisses,lambrisse,lambrissons,lambrissez,lambrissent,lambrissais,lambrissais,lambrissait,lambrissions,lambrissiez,lambrissaient,lambrisserai,lambrisseras,lambrissera,lambrisserons,lambrisserez,lambrisseront
lettrer,lettre,lettres,lettre,lettrons,lettrez,lettrent,lettrais,lettrais,lettrait,lettrions,lettriez,lettraient,lettrerai,lettreras,lettrera,lettrerons,lettrerez,lettreront
lâcher,lâche,lâches,lâche,lâchons,lâchez,lâchent,lâchais,lâchais,lâchait,lâchions,lâchiez,lâchaient,lâcherai,lâcheras,lâchera,lâcherons,lâcherez,lâcheront
léser,lèse,lèses,lèse,lésons,lésez,lèsent,lésais,lésais,lésait,lésions,lésiez,lésaient,lèserai;léserai,lèseras;léseras,lèsera;lésera,lèserons;léserons,lèserez;léserez,lèseront;léseront
masser,masse,masses,masse,massons,massez,massent,massais,massais,massait,massions,massiez,massaient,masserai,masseras,massera,masserons,masserez,masseront
matérialiser,matérialise,matérialises,matérialise,matérialisons,matérialisez,matérialisent,matérialisais,matérialisais,matérialisait,matérialisions,matérialisiez,matérialisaient,matérialiserai,matérialiseras,matérialisera,matérialiserons,matérialiserez,matérialiseront
manquer,manque,manques,manque,manquons,manquez,manquent,manquais,manquais,manquait,manquions,manquiez,manquaient,manquerai,manqueras,manquera,manquerons,manquerez,manqueront
maudire,maudis,maudis,maudit,maudissons,maudissez,maudissent,maudissais,maudissais,maudissait,maudissions,maudissiez,maudissaient,maudirai,maudiras,maudira,maudirons,maudirez,maudiront
lobber,lobbe,lobbes,lobbe,lobbons,lobbez,lobbent,lobbais,lobbais,lobbait,lobbions,lobbiez,lobbaient,lobberai,lobberas,lobbera,lobberons,lobberez,lobberont
liguer,ligue,ligues,ligue,liguons,liguez,liguent,liguais,liguais,liguait,liguions,liguiez,liguaient,liguerai,ligueras,liguera,liguerons,liguerez,ligueront
lire,lis,lis,lit,lisons,lisez,lisent,lisais,lisais,lisait,lisions,lisiez,lisaient,lirai,liras,lira,lirons,lirez,liront
mazouter,mazoute,mazoutes,mazoute,mazoutons,mazoutez,mazoutent,mazoutais,mazoutais,mazoutait,mazoutions,mazoutiez,mazoutaient,mazouterai,mazouteras,mazoutera,mazouterons,mazouterez,mazouteront
lasser,lasse,lasses,lasse,lassons,lassez,lassent,lassais,lassais,lassait,lassions,lassiez,lassaient,lasserai,lasseras,lassera,lasserons,lasserez,lasseront
magnétoscoper,magnétoscope,magnétoscopes,magnétoscope,magnétoscopons,magnétoscopez,magnétoscopent,magnétoscopais,magnétoscopais,magnétoscopait,magnétoscopions,magnétoscopiez,magnétoscopaient,magnétoscoperai,magnétoscoperas,magnétoscopera,magnétoscoperons,magnétoscoperez,magnétoscoperont
lisser,lisse,lisses,lisse,lissons,lissez,lissent,lissais,lissais,lissait,lissions,lissiez,lissaient,lisserai,lisseras,lissera,lisserons,lisserez,lisseront
lessiver,lessive,lessives,lessive,lessivons,lessivez,lessivent,lessivais,lessivais,lessivait,lessivions,lessiviez,lessivaient,lessiverai,lessiveras,lessivera,lessiverons,lessiverez,lessiveront
maçonner,maçonne,maçonnes,maçonne,maçonnons,maçonnez,maçonnent,maçonnais,maçonnais,maçonnait,maçonnions,maçonniez,maçonnaient,maçonnerai,maçonneras,maçonnera,maçonnerons,maçonnerez,maçonneront
malter,malte,maltes,malte,maltons,maltez,maltent,maltais,maltais,maltait,maltions,maltiez,maltaient,malterai,malteras,maltera,malterons,malterez,malteront
lester,leste,lestes,leste,lestons,lestez,lestent,lestais,lestais,lestait,lestions,lestiez,lestaient,lesterai,lesteras,lestera,lesterons,lesterez,lesteront
libérer,libère,libères,libère,libérons,libérez,libèrent,libérais,libérais,libérait,libérions,libériez,libéraient,libèrerai;libérerai,libèreras;libéreras,libèrera;libérera,libèrerons;libérerons,libèrerez;libérerez,libèreront;libéreront
matraquer,matraque,matraques,matraque,matraquons,matraquez,matraquent,matraquais,matraquais,matraquait,matraquions,matraquiez,matraquaient,matraquerai,matraqueras,matraquera,matraquerons,matraquerez,matraqueront
menuiser,menuise,menuises,menuise,menuisons,menuisez,menuisent,menuisais,menuisais,menuisait,menuisions,menuisiez,menuisaient,menuiserai,menuiseras,menuisera,menuiserons,menuiserez,menuiseront
menstruer,menstrue,menstrues,menstrue,menstruons,menstruez,menstruent,menstruais,menstruais,menstruait,menstruions,menstruiez,menstruaient,menstruerai,menstrueras,menstruera,menstruerons,menstruerez,menstrueront
majorer,majore,majores,majore,majorons,majorez,majorent,majorais,majorais,majorait,majorions,majoriez,majoraient,majorerai,majoreras,majorera,majorerons,majorerez,majoreront
limer,lime,limes,lime,limons,limez,liment,limais,limais,limait,limions,limiez,limaient,limerai,limeras,limera,limerons,limerez,limeront
marrer,marre,marres,marre,marrons,marrez,marrent,marrais,marrais,marrait,marrions,marriez,marraient,marrerai,marreras,marrera,marrerons,marrerez,marreront
marquer,marque,marques,marque,marquons,marquez,marquent,marquais,marquais,marquait,marquions,marquiez,marquaient,marquerai,marqueras,marquera,marquerons,marquerez,marqueront
mélanger,mélange,mélanges,mélange,mélangeons,mélangez,mélangent,mélangeais,mélangeais,mélangeait,mélangions,mélangiez,mélangeaient,mélangerai,mélangeras,mélangera,mélangerons,mélangerez,mélangeront
léviter,lévite,lévites,lévite,lévitons,lévitez,lévitent,lévitais,lévitais,lévitait,lévitions,lévitiez,lévitaient,léviterai,léviteras,lévitera,léviterons,léviterez,léviteront
magner,magne,magnes,magne,magnons,magnez,magnent,magnais,magnais,magnait,magnions,magniez,magnaient,magnerai,magneras,magnera,magnerons,magnerez,magneront
lever,lève,lèves,lève,levons,levez,lèvent,levais,levais,levait,levions,leviez,levaient,lèverai,lèveras,lèvera,lèverons,lèverez,lèveront
loucher,louche,louches,louche,louchons,louchez,louchent,louchais,louchais,louchait,louchions,louchiez,louchaient,loucherai,loucheras,louchera,loucherons,loucherez,loucheront
magnétiser,magnétise,magnétises,magnétise,magnétisons,magnétisez,magnétisent,magnétisais,magnétisais,magnétisait,magnétisions,magnétisiez,magnétisaient,magnétiserai,magnétiseras,magnétisera,magnétiserons,magnétiserez,magnétiseront
maigrir,maigris,maigris,maigrit,maigrissons,maigrissez,maigrissent,maigrissais,maigrissais,maigrissait,maigrissions,maigrissiez,maigrissaient,maigrirai,maigriras,maigrira,maigrirons,maigrirez,maigriront
manger,mange,manges,mange,mangeons,mangez,mangent,mangeais,mangeais,mangeait,mangions,mangiez,mangeaient,mangerai,mangeras,mangera,mangerons,mangerez,mangeront
macérer,macère,macères,macère,macérons,macérez,macèrent,macérais,macérais,macérait,macérions,macériez,macéraient,macèrerai;macérerai,macèreras;macéreras,macèrera;macérera,macèrerons;macérerons,macèrerez;macérerez,macèreront;macéreront
marabouter,maraboute,maraboutes,maraboute,maraboutons,maraboutez,maraboutent,maraboutais,maraboutais,maraboutait,maraboutions,maraboutiez,maraboutaient,marabouterai,marabouteras,maraboutera,marabouterons,marabouterez,marabouteront
laisser,laisse,laisses,laisse,laissons,laissez,laissent,laissais,laissais,laissait,laissions,laissiez,laissaient,laisserai,laisseras,laissera,laisserons,laisserez,laisseront
méconnaître,méconnais,méconnais,méconnaît,méconnaissons,méconnaissez,méconnaissent,méconnaissais,méconnaissais,méconnaissait,méconnaissions,méconnaissiez,méconnaissaient,méconnaîtrai,méconnaîtras,méconnaîtra,méconnaîtrons,méconnaîtrez,méconnaîtront
malaxer,malaxe,malaxes,malaxe,malaxons,malaxez,malaxent,malaxais,malaxais,malaxait,malaxions,malaxiez,malaxaient,malaxerai,malaxeras,malaxera,malaxerons,malaxerez,malaxeront
masquer,masque,masques,masque,masquons,masquez,masquent,masquais,masquais,masquait,masquions,masquiez,masquaient,masquerai,masqueras,masquera,masquerons,masquerez,masqueront
latiniser,latinise,latinises,latinise,latinisons,latinisez,latinisent,latinisais,latinisais,latinisait,latinisions,latinisiez,latinisaient,latiniserai,latiniseras,latinisera,latiniserons,latiniserez,latiniseront
manigancer,manigance,manigances,manigance,manigançons,manigancez,manigancent,manigançais,manigançais,manigançait,manigancions,maniganciez,manigançaient,manigancerai,maniganceras,manigancera,manigancerons,manigancerez,maniganceront
larciner,larcine,larcines,larcine,larcinons,larcinez,larcinent,larcinais,larcinais,larcinait,larcinions,larciniez,larcinaient,larcinerai,larcineras,larcinera,larcinerons,larcinerez,larcineront
marier,marie,maries,marie,marions,mariez,marient,mariais,mariais,mariait,mariions,mariiez,mariaient,marierai,marieras,mariera,marierons,marierez,marieront
louanger,louange,louanges,louange,louangeons,louangez,louangent,louangeais,louangeais,louangeait,louangions,louangiez,louangeaient,louangerai,louangeras,louangera,louangerons,louangerez,louangeront
luxer,luxe,luxes,luxe,luxons,luxez,luxent,luxais,luxais,luxait,luxions,luxiez,luxaient,luxerai,luxeras,luxera,luxerons,luxerez,luxeront
machiner,machine,machines,machine,machinons,machinez,machinent,machinais,machinais,machinait,machinions,machiniez,machinaient,machinerai,machineras,machinera,machinerons,machinerez,machineront
liquéfier,liquéfie,liquéfies,liquéfie,liquéfions,liquéfiez,liquéfient,liquéfiais,liquéfiais,liquéfiait,liquéfiions,liquéfiiez,liquéfiaient,liquéfierai,liquéfieras,liquéfiera,liquéfierons,liquéfierez,liquéfieront
livrer,livre,livres,livre,livrons,livrez,livrent,livrais,livrais,livrait,livrions,livriez,livraient,livrerai,livreras,livrera,livrerons,livrerez,livreront
mailler,maille,mailles,maille,maillons,maillez,maillent,maillais,maillais,maillait,maillions,mailliez,maillaient,maillerai,mailleras,maillera,maillerons,maillerez,mailleront
merder,merde,merdes,merde,merdons,merdez,merdent,merdais,merdais,merdait,merdions,merdiez,merdaient,merderai,merderas,merdera,merderons,merderez,merderont
maîtriser,maîtrise,maîtrises,maîtrise,maîtrisons,maîtrisez,maîtrisent,maîtrisais,maîtrisais,maîtrisait,maîtrisions,maîtrisiez,maîtrisaient,maîtriserai,maîtriseras,maîtrisera,maîtriserons,maîtriserez,maîtriseront
liciter,licite,licites,licite,licitons,licitez,licitent,licitais,licitais,licitait,licitions,licitiez,licitaient,liciterai,liciteras,licitera,liciterons,liciterez,liciteront
lyophiliser,lyophilise,lyophilises,lyophilise,lyophilisons,lyophilisez,lyophilisent,lyophilisais,lyophilisais,lyophilisait,lyophilisions,lyophilisiez,lyophilisaient,lyophiliserai,lyophiliseras,lyophilisera,lyophiliserons,lyophiliserez,lyophiliseront
léguer,lègue,lègues,lègue,léguons,léguez,lèguent,léguais,léguais,léguait,léguions,léguiez,léguaient,lèguerai;léguerai,lègueras;légueras,lèguera;léguera,lèguerons;léguerons,lèguerez;léguerez,lègueront;légueront
martyriser,martyrise,martyrises,martyrise,martyrisons,martyrisez,martyrisent,martyrisais,martyrisais,martyrisait,martyrisions,martyrisiez,martyrisaient,martyriserai,martyriseras,martyrisera,martyriserons,martyriserez,martyriseront
mastiquer,mastique,mastiques,mastique,mastiquons,mastiquez,mastiquent,mastiquais,mastiquais,mastiquait,mastiquions,mastiquiez,mastiquaient,mastiquerai,mastiqueras,mastiquera,mastiquerons,mastiquerez,mastiqueront
materner,materne,maternes,materne,maternons,maternez,maternent,maternais,maternais,maternait,maternions,materniez,maternaient,maternerai,materneras,maternera,maternerons,maternerez,materneront
lemmatiser,lemmatise,lemmatises,lemmatise,lemmatisons,lemmatisez,lemmatisent,lemmatisais,lemmatisais,lemmatisait,lemmatisions,lemmatisiez,lemmatisaient,lemmatiserai,lemmatiseras,lemmatisera,lemmatiserons,lemmatiserez,lemmatiseront
luger,luge,luges,luge,lugeons,lugez,lugent,lugeais,lugeais,lugeait,lugions,lugiez,lugeaient,lugerai,lugeras,lugera,lugerons,lugerez,lugeront
manufacturer,manufacture,manufactures,manufacture,manufacturons,manufacturez,manufacturent,manufacturais,manufacturais,manufacturait,manufacturions,manufacturiez,manufacturaient,manufacturerai,manufactureras,manufacturera,manufacturerons,manufacturerez,manufactureront
masturber,masturbe,masturbes,masturbe,masturbons,masturbez,masturbent,masturbais,masturbais,masturbait,masturbions,masturbiez,masturbaient,masturberai,masturberas,masturbera,masturberons,masturberez,masturberont
mariner,marine,marines,marine,marinons,marinez,marinent,marinais,marinais,marinait,marinions,mariniez,marinaient,marinerai,marineras,marinera,marinerons,marinerez,marineront
maximaliser,maximalise,maximalises,maximalise,maximalisons,maximalisez,maximalisent,maximalisais,maximalisais,maximalisait,maximalisions,maximalisiez,maximalisaient,maximaliserai,maximaliseras,maximalisera,maximaliserons,maximaliserez,maximaliseront
larguer,largue,largues,largue,larguons,larguez,larguent,larguais,larguais,larguait,larguions,larguiez,larguaient,larguerai,largueras,larguera,larguerons,larguerez,largueront
méfier,méfie,méfies,méfie,méfions,méfiez,méfient,méfiais,méfiais,méfiait,méfiions,méfiiez,méfiaient,méfierai,méfieras,méfiera,méfierons,méfierez,méfieront
langer,lange,langes,lange,langeons,langez,langent,langeais,langeais,langeait,langions,langiez,langeaient,langerai,langeras,langera,langerons,langerez,langeront
maculer,macule,macules,macule,maculons,maculez,maculent,maculais,maculais,maculait,maculions,maculiez,maculaient,maculerai,maculeras,maculera,maculerons,maculerez,maculeront
méconnaitre,méconnais,méconnais,méconnait,méconnaissons,méconnaissez,méconnaissent,méconnaissais,méconnaissais,méconnaissait,méconnaissions,méconnaissiez,méconnaissaient,méconnaitrai,méconnaitras,méconnaitra,méconnaitrons,méconnaitrez,méconnaitront
liquider,liquide,liquides,liquide,liquidons,liquidez,liquident,liquidais,liquidais,liquidait,liquidions,liquidiez,liquidaient,liquiderai,liquideras,liquidera,liquiderons,liquiderez,liquideront
mâchouiller,mâchouille,mâchouilles,mâchouille,mâchouillons,mâchouillez,mâchouillent,mâchouillais,mâchouillais,mâchouillait,mâchouillions,mâchouilliez,mâchouillaient,mâchouillerai,mâchouilleras,mâchouillera,mâchouillerons,mâchouillerez,mâchouilleront
médire,médis,médis,médit,médisons,médisez,médisent,médisais,médisais,médisait,médisions,médisiez,médisaient,médirai,médiras,médira,médirons,médirez,médiront
lixivier,lixivie,lixivies,lixivie,lixivions,lixiviez,lixivient,lixiviais,lixiviais,lixiviait,lixiviions,lixiviiez,lixiviaient,lixivierai,lixivieras,lixiviera,lixivierons,lixivierez,lixivieront
lancer,lance,lances,lance,lançons,lancez,lancent,lançais,lançais,lançait,lancions,lanciez,lançaient,lancerai,lanceras,lancera,lancerons,lancerez,lanceront
laver,lave,laves,lave,lavons,lavez,lavent,lavais,lavais,lavait,lavions,laviez,lavaient,laverai,laveras,lavera,laverons,laverez,laveront
merdiquer,merdique,merdiques,merdique,merdiquons,merdiquez,merdiquent,merdiquais,merdiquais,merdiquait,merdiquions,merdiquiez,merdiquaient,merdiquerai,merdiqueras,merdiquera,merdiquerons,merdiquerez,merdiqueront
maitriser,maitrise,maitrises,maitrise,maitrisons,maitrisez,maitrisent,maitrisais,maitrisais,maitrisait,maitrisions,maitrisiez,maitrisaient,maitriserai,maitriseras,maitrisera,maitriserons,maitriserez,maitriseront
manier,manie,manies,manie,manions,maniez,manient,maniais,maniais,maniait,maniions,maniiez,maniaient,manierai,manieras,maniera,manierons,manierez,manieront
médeciner,médecine,médecines,médecine,médecinons,médecinez,médecinent,médecinais,médecinais,médecinait,médecinions,médeciniez,médecinaient,médecinerai,médecineras,médecinera,médecinerons,médecinerez,médecineront
lier,lie,lies,lie,lions,liez,lient,liais,liais,liait,liions,liiez,liaient,lierai,lieras,liera,lierons,lierez,lieront
laminer,lamine,lamines,lamine,laminons,laminez,laminent,laminais,laminais,laminait,laminions,laminiez,laminaient,laminerai,lamineras,laminera,laminerons,laminerez,lamineront
légaliser,légalise,légalises,légalise,légalisons,légalisez,légalisent,légalisais,légalisais,légalisait,légalisions,légalisiez,légalisaient,légaliserai,légaliseras,légalisera,légaliserons,légaliserez,légaliseront
localiser,localise,localises,localise,localisons,localisez,localisent,localisais,localisais,localisait,localisions,localisiez,localisaient,localiserai,localiseras,localisera,localiserons,localiserez,localiseront
lésiner,lésine,lésines,lésine,lésinons,lésinez,lésinent,lésinais,lésinais,lésinait,lésinions,lésiniez,lésinaient,lésinerai,lésineras,lésinera,lésinerons,lésinerez,lésineront
lustrer,lustre,lustres,lustre,lustrons,lustrez,lustrent,lustrais,lustrais,lustrait,lustrions,lustriez,lustraient,lustrerai,lustreras,lustrera,lustrerons,lustrerez,lustreront
marger,marge,marges,marge,margeons,margez,margent,margeais,margeais,margeait,margions,margiez,margeaient,margerai,margeras,margera,margerons,margerez,margeront
ménager,ménage,ménages,ménage,ménageons,ménagez,ménagent,ménageais,ménageais,ménageait,ménagions,ménagiez,ménageaient,ménagerai,ménageras,ménagera,ménagerons,ménagerez,ménageront
libeller,libelle,libelles,libelle,libellons,libellez,libellent,libellais,libellais,libellait,libellions,libelliez,libellaient,libellerai,libelleras,libellera,libellerons,libellerez,libelleront
lister,liste,listes,liste,listons,listez,listent,listais,listais,listait,listions,listiez,listaient,listerai,listeras,listera,listerons,listerez,listeront
manœuvrer,manœuvre,manœuvres,manœuvre,manœuvrons,manœuvrez,manœuvrent,manœuvrais,manœuvrais,manœuvrait,manœuvrions,manœuvriez,manœuvraient,manœuvrerai,manœuvreras,manœuvrera,manœuvrerons,manœuvrerez,manœuvreront
lambiner,lambine,lambines,lambine,lambinons,lambinez,lambinent,lambinais,lambinais,lambinait,lambinions,lambiniez,lambinaient,lambinerai,lambineras,lambinera,lambinerons,lambinerez,lambineront
légender,légende,légendes,légende,légendons,légendez,légendent,légendais,légendais,légendait,légendions,légendiez,légendaient,légenderai,légenderas,légendera,légenderons,légenderez,légenderont
mander,mande,mandes,mande,mandons,mandez,mandent,mandais,mandais,mandait,mandions,mandiez,mandaient,manderai,manderas,mandera,manderons,manderez,manderont
mécaniser,mécanise,mécanises,mécanise,mécanisons,mécanisez,mécanisent,mécanisais,mécanisais,mécanisait,mécanisions,mécanisiez,mécanisaient,mécaniserai,mécaniseras,mécanisera,mécaniserons,mécaniserez,mécaniseront
maternaliser,maternalise,maternalises,maternalise,maternalisons,maternalisez,maternalisent,maternalisais,maternalisais,maternalisait,maternalisions,maternalisiez,maternalisaient,maternaliserai,maternaliseras,maternalisera,maternaliserons,maternaliserez,maternaliseront
mâcher,mâche,mâches,mâche,mâchons,mâchez,mâchent,mâchais,mâchais,mâchait,mâchions,mâchiez,mâchaient,mâcherai,mâcheras,mâchera,mâcherons,mâcherez,mâcheront
manipuler,manipule,manipules,manipule,manipulons,manipulez,manipulent,manipulais,manipulais,manipulait,manipulions,manipuliez,manipulaient,manipulerai,manipuleras,manipulera,manipulerons,manipulerez,manipuleront
leurrer,leurre,leurres,leurre,leurrons,leurrez,leurrent,leurrais,leurrais,leurrait,leurrions,leurriez,leurraient,leurrerai,leurreras,leurrera,leurrerons,leurrerez,leurreront
mandater,mandate,mandates,mandate,mandatons,mandatez,mandatent,mandatais,mandatais,mandatait,mandations,mandatiez,mandataient,mandaterai,mandateras,mandatera,mandaterons,mandaterez,mandateront
limoger,limoge,limoges,limoge,limogeons,limogez,limogent,limogeais,limogeais,limogeait,limogions,limogiez,limogeaient,limogerai,limogeras,limogera,limogerons,limogerez,limogeront
ligoter,ligote,ligotes,ligote,ligotons,ligotez,ligotent,ligotais,ligotais,ligotait,ligotions,ligotiez,ligotaient,ligoterai,ligoteras,ligotera,ligoterons,ligoterez,ligoteront
mailer,maile,mailes,maile,mailons,mailez,mailent,mailais,mailais,mailait,mailions,mailiez,mailaient,mailerai,maileras,mailera,mailerons,mailerez,maileront
lutter,lutte,luttes,lutte,luttons,luttez,luttent,luttais,luttais,luttait,luttions,luttiez,luttaient,lutterai,lutteras,luttera,lutterons,lutterez,lutteront
laquer,laque,laques,laque,laquons,laquez,laquent,laquais,laquais,laquait,laquions,laquiez,laquaient,laquerai,laqueras,laquera,laquerons,laquerez,laqueront
manutentionner,manutentionne,manutentionnes,manutentionne,manutentionnons,manutentionnez,manutentionnent,manutentionnais,manutentionnais,manutentionnait,manutentionnions,manutentionniez,manutentionnaient,manutentionnerai,manutentionneras,manutentionnera,manutentionnerons,manutentionnerez,manutentionneront
