infinitive,je|present,tu|present,il_elle_on|present,nous|present,vous|present,ils_elles|present,je|past,tu|past,il_elle_on|past,nous|past,vous|past,ils_elles|past,je|future,tu|future,il_elle_on|future,nous|future,vous|future,ils_elles|future
charger,charge,charges,charge,chargeons,chargez,chargent,chargeais,chargeais,chargeait,chargions,chargiez,chargeaient,chargerai,chargeras,chargera,chargerons,chargerez,chargeront
céder,cède,cèdes,cède,cédons,cédez,cèdent,cédais,cédais,cédait,cédions,cédiez,cédaient,cèderai;céderai,cèderas;céderas,cèdera;cédera,cèderons;céderons,cèderez;céderez,cèderont;céderont
charabier,charabie,charabies,charabie,charabions,charabiez,charabient,charabiais,charabiais,charabiait,charabiions,charabiiez,charabiaient,charabierai,charabieras,charabiera,charabierons,charabierez,charabieront
cloîtrer,cloître,cloîtres,cloître,cloîtrons,cloîtrez,cloîtrent,cloîtrais,cloîtrais,cloîtrait,cloîtrions,cloîtriez,cloîtraient,cloîtrerai,cloîtreras,cloîtrera,cloîtrerons,cloîtrerez,cloîtreront
châtrer,châtre,châtres,châtre,châtrons,châtrez,châtrent,châtrais,châtrais,châtrait,châtrions,châtriez,châtraient,châtrerai,châtreras,châtrera,châtrerons,châtrerez,châtreront
chasser,chasse,chasses,chasse,chassons,chassez,chassent,chassais,chassais,chassait,chassions,chassiez,chassaient,chasserai,chasseras,chassera,chasserons,chasserez,chasseront
chevroter,chevrote,chevrotes,chevrote,chevrotons,chevrotez,chevrotent,chevrotais,chevrotais,chevrotait,chevrotions,chevrotiez,chevrotaient,chevroterai,chevroteras,chevrotera,chevroterons,chevroterez,chevroteront
champignonner,champignonne,champignonnes,champignonne,champignonnons,champignonnez,champignonnent,champignonnais,champignonnais,champignonnait,champignonnions,champignonniez,champignonnaient,champignonnerai,champignonneras,champignonnera,champignonnerons,champignonnerez,champignonneront
coécrire,coécris,coécris,coécrit,coécrivons,coécrivez,coécrivent,coécrivais,coécrivais,coécrivait,coécrivions,coécriviez,coécrivaient,coécrirai,coécriras,coécrira,coécrirons,coécrirez,coécriront
colmater,colmate,colmates,colmate,colmatons,colmatez,colmatent,colmatais,colmatais,colmatait,colmations,colmatiez,colmataient,colmaterai,colmateras,colmatera,colmaterons,colmaterez,colmateront
charrier,charrie,charries,charrie,charrions,charriez,charrient,charriais,charriais,charriait,charriions,charriiez,charriaient,charrierai,charrieras,charriera,charrierons,charrierez,charrieront
commercer,commerce,commerces,commerce,commerçons,commercez,commercent,commerçais,commerçais,commerçait,commercions,commerciez,commerçaient,commercerai,commerceras,commercera,commercerons,commercerez,commerceront
comptabiliser,comptabilise,comptabilises,comptabilise,comptabilisons,comptabilisez,comptabilisent,comptabilisais,comptabilisais,comptabilisait,comptabilisions,comptabilisiez,comptabilisaient,comptabiliserai,comptabiliseras,comptabilisera,comptabiliserons,comptabiliserez,comptabiliseront
contenir,contiens,contiens,contient,contenons,contenez,contiennent,contenais,contenais,contenait,contenions,conteniez,contenaient,contiendrai,contiendras,contiendra,contiendrons,contiendrez,contiendront
confluer,conflue,conflues,conflue,confluons,confluez,confluent,confluais,confluais,confluait,confluions,confluiez,confluaient,confluerai,conflueras,confluera,confluerons,confluerez,conflueront
contrefaire,contrefais,contrefais,contrefait,contrefaisons,contrefaites,contrefont,contrefaisais,contrefaisais,contrefaisait,contrefaisions,contrefaisiez,contrefaisaient,contreferai,contreferas,contrefera,contreferons,contreferez,contreferont
composter,composte,compostes,composte,compostons,compostez,compostent,compostais,compostais,compostait,compostions,compostiez,compostaient,composterai,composteras,compostera,composterons,composterez,composteront
contacter,contacte,contactes,contacte,contactons,contactez,contactent,contactais,contactais,contactait,contactions,contactiez,contactaient,contacterai,contacteras,contactera,contacterons,contacterez,contacteront
conceptualiser,conceptualise,conceptualises,conceptualise,conceptualisons,conceptualisez,conceptualisent,conceptualisais,conceptualisais,conceptualisait,conceptualisions,conceptualisiez,conceptualisaient,conceptualiserai,conceptualiseras,conceptualisera,conceptualiserons,conceptualiserez,conceptualiseront
conseiller,conseille,conseilles,conseille,conseillons,conseillez,conseillent,conseillais,conseillais,conseillait,conseillions,conseilliez,conseillaient,conseillerai,conseilleras,conseillera,conseillerons,conseillerez,conseilleront
cosser,cosse,cosses,cosse,cossons,cossez,cossent,cossais,cossais,cossait,cossions,cossiez,cossaient,cosserai,cosseras,cossera,cosserons,cosserez,cosseront
contredire,contredis,contredis,contredit,contredisons,contredisez,contredisent,contredisais,contredisais,contredisait,contredisions,contredisiez,contredisaient,contredirai,contrediras,contredira,contredirons,contredirez,contrediront
corner,corne,cornes,corne,cornons,cornez,cornent,cornais,cornais,cornait,cornions,corniez,cornaient,cornerai,corneras,cornera,cornerons,cornerez,corneront
